"ChemicalID"
"D019840"
"C111420"
"C106538"
"C423508"
"D000077443"
"D020909"
"D000070"
"D000074"
"D000075"
"C021280"
"D000082"
"D000086"
"D000092"
"C006358"
"C100162"
"D000109"
"D000112"
"D000117"
"D017255"
"D000212"
"D000068816"
"C106812"
"C039668"
"D000324"
"D000404"
"D015766"
"D000420"
"C557708"
"C082598"
"D019386"
"C008088"
"D015760"
"C047638"
"D000077556"
"C033968"
"D000493"
"D000500"
"C006470"
"D015765"
"C409045"
"C090840"
"D000525"
"D000526"
"D000527"
"D006585"
"D000535"
"C010846"
"C419502"
"C077990"
"D000547"
"C012716"
"D000560"
"D000561"
"D004999"
"D000583"
"D000584"
"D015119"
"D000616"
"D000622"
"D000628"
"D000632"
"D010131"
"D000638"
"D000639"
"C045742"
"D017311"
"D000654"
"D000655"
"D000657"
"D000658"
"D000661"
"D000666"
"D000667"
"C095108"
"D000676"
"D000677"
"D000680"
"C021139"
"D000077384"
"D000077612"
"C100232"
"C010679"
"D000865"
"D000967"
"D000983"
"C017014"
"D001058"
"C016986"
"D000077608"
"D001073"
"C031986"
"C076559"
"C031942"
"D000068180"
"D000077237"
"D000077549"
"D001216"
"D001218"
"D001241"
"D016589"
"D000069446"
"D001262"
"D000069445"
"D000069059"
"D053626"
"D001285"
"C026325"
"D001310"
"D001374"
"C006656"
"D001379"
"C010038"
"C020976"
"C100243"
"D017963"
"D001390"
"D001398"
"C011674"
"D001414"
"D001418"
"C038637"
"C047766"
"D001462"
"D000077214"
"D001507"
"C044946"
"D001539"
"C011677"
"C005298"
"C006717"
"C006691"
"D001566"
"C029755"
"C004463"
"D001589"
"C100234"
"D001590"
"C006723"
"C108476"
"D015764"
"D001599"
"D001621"
"D001623"
"D015784"
"D001625"
"D018723"
"D001627"
"C021148"
"D000077610"
"D001629"
"C053541"
"C036596"
"D000069580"
"D001710"
"D001712"
"C015715"
"D017298"
"C074619"
"D001761"
"C036007"
"D000069286"
"D000077300"
"D019274"
"C045166"
"D000068438"
"C111827"
"D001960"
"C053083"
"D001971"
"C011410"
"D001977"
"C046894"
"D019819"
"D002034"
"D002045"
"D002047"
"D016642"
"D002065"
"D002066"
"C004470"
"C067594"
"C027712"
"C017125"
"D002077"
"C552428"
"D000077465"
"D002110"
"D002112"
"C055085"
"D002117"
"D002166"
"C077793"
"D002174"
"C062766"
"D000069287"
"D002207"
"D002216"
"D002217"
"D002220"
"D002228"
"C020731"
"D002230"
"D002231"
"C004649"
"D016190"
"C062843"
"D002328"
"D002330"
"D002331"
"C007005"
"D002354"
"D000077261"
"D000077336"
"D002433"
"D002434"
"D002435"
"D002437"
"D000077525"
"C073460"
"D000077723"
"D020682"
"D015281"
"D015311"
"D015790"
"D002438"
"C012653"
"D002439"
"D015313"
"D015310"
"D002440"
"C036666"
"C053268"
"C052018"
